ADDRESS;NAME;ORIGINAL_LAT;ORIGINAL_LNG
г. Иваново, ул. Куконковых 141;Иваново ТЦ Евролэнд;56.965515;41.026517
г. Курган, ул. Коли Мяготина 8;Курган ТЦ Гипер Сити;55.426626;65.280671
г. Брянск, ул. Красноармейская 100;Брянск ТЦ Мельница;53.240199;34.346501
г. Шатура, пр. Ильича 34;Шатура Ильича;55.575398;39.533508
г. Лобня, Краснополянский проезд 2;Лобня ТЦ Поворот;56.008349;37.439787
МКАД, 24-й километр, 1, Москва;Москва ТЦ Вегас Каширская;55.584966;37.723329
г. Южно-Сахалинск, п/р Хомутово, ул. 2-я Центральная 1Б;Южно-Сахалинск ТЦ Сити Молл;46.891513;142.742856
г. Улан-Удэ, ул. Жердева 104 Б;Улан-Удэ ТЦ Пиплз Парк;51.812002;107.664003
г. Вологда, Пошехонское шоссе 22;Вологда ТЦ Мармелад;59.197689;39.859588
г. Воронеж, Ленинский пр-т 174 п;Воронеж ТЦ Максимир;51.667853;39.250404
Хабаровск, ул. Суворова 25;Хабаровск ТЦ Южный Парк;48.395835;135.10643
г. Альметьевск, ул. Ленина 123 В;Альметьевск Ленина;54.900001;52.265699
г. Иваново, ул. 8 Марта 32;Иваново ТЦ Серебряный Город;57.00523;40.984485
г. Казань, ул. Петербургская 9;Казань ТЦ Республика;55.785321;49.126545
г.Пермь, ул.Пушкина 89а;Пермь Пушкина;58.003669;56.229048
г. Колпино, ул. Октябрьская 8;Колпино ТЦ Ока;59.738983;30.622903
г.Волгодонск, ул. Строителей 21;Волгодонск Строителей;47.5177845629642;42.1987870082053
г. Благовещенск, ул. Октябрьская 146;Благовещенск ТЦ Авоська;50.271017;127.532878
Калининский р-н, ул. Курчатова 1;Новосибирск ТЦ Голден Парк;55.104061;82.96064
г. Москва, ул. Борисовские пруды 26;Москва ТЦ Ключевой;55.639959;37.758204
г. Тверь, пр-т Калинина 15/1;Тверь ТЦ Рубин;56.849802;35.860477
г. Октябрьский, ул. Островского 6 А;Октябрьский ТЦ Аструм;54.485099;53.465498
Ленинградская область, г. Тосно, пр. Ленина, д. 44;Тосно Ленина;59.541738;30.880542
г. Хабаровск, ул. Ленинградская 28;Хабаровск ТЦ Макси Молл;48.483598;135.095004
г. Тамбов, ул. Октябрьская 16А / Носовская 10А;Тамбов ТЦ Плаза;52.7248893050387;41.4463183801632
г. Великие Луки, ул. Вокзальная 11;Великие Луки ТЦ Апельсин;56.347;30.560497
г. Краснодар, ул. СтасоваСормовская 178-1801;Краснодар ТЦ Галактика;45.029476731804;39.046489688884
г. Томск, ул. Беринга 10;Томск ТЦ Манеж;56.516219;85.033519
г. Уфа, ул. Маршала Жукова 29;Уфа ТЦ Простор;54.771331;56.058413
г. Казань, пр. Ибрагимова 56;Казань ТЦ Тандем;55.821285;49.09337
ул. Автостроителей 51 В;Димитровград ТЦ Арбат;54.20980292781754;49.599398609723764
г.Екатеринбург пр. Ленина 53;Екатеринбург Ленина;56.840685;60.61872
г. Воронеж, бульвар Победы 23б;Воронеж ТЦ Арена;51.710833;39.159854
г. С.-Петербург, Балканская пл. 5;С-Петербург ТЦ Балканский;59.829522;30.379454
г.Красноярск, ул. Молокова 56/1;Красноярск ТЦ Оптима;56.04051;92.901719
Московская обл., г. Реутов, 2-й км МКАД д. 2;Реутов ТК Шоколад;55.763254151197664;37.84476763615242
г. Королев, пр. Королева 9;Королев Королева;55.922192;37.849419
г. Чебоксары, пр. И. Яковлева 4Б;Чебоксары ТЦ МТВ;56.1006;47.264598
г. Чебоксары, Президентский бульвар 20;Чебоксары ТЦ Каскад;56.135509;47.240676
ул. Зарубина 167;Саратов ТЦ Триумф Молл;51.54149232128152;46.01423177454074
г. Санкт-Петербург, Лиговский проспект, д. 30, лит. А;С-Петербург ТЦ Галерея;59.927256;30.360712
г. Новосибирск, ул. Военная 5;Новосибирск ТЦ Аура;55.028548;82.936626
г.Обнинск, пр-кт Маркса 45;Обнинск ТЦ Триумф Плаза;55.116917;36.593295
г. Энгельс, пл. Ленина 4;Энгельс ТЦ Лазурный;51.50258;46.118384
Автозаводская ул., 3А, Ижевск;Ижевск ТЦ Столица;56.873407;53.277302
г. Орск, ул. Васнецова 16;Орск ТЦ ЦУМ;51.222768;58.495929
г.Кисловодск, ул. Горького 14;Кисловодск ТЦ Кристалл;43.907999;42.713104
г. Самара,, Московское шоссе 185а;Самара ТЦ Самолет;53.248848;50.220541
г. Саранск, ул. Энгельса 26;Саранск Энгельса;54.171782;45.128925
г.Пермь,ул. Мира 41/1;Пермь ТЦ Столица;57.97735;56.189603
г. Йошкар Ола, ул. К.Маркса 99;Йошкар-Ола ТЦ Форум;56.628458925756966;47.89724869576993
Республика Башкортостан, г. Ишимбай, ул. Стахановская 92;Ишимбай ТЦ Ишимбай;53.451302;56.034904
г. м-н Усолье-Сибирское, ул. Республики 6;Усолье-Сибирское Республики;52.75267657813;103.66105216666
г. Южноуральск, ул. Победы 22;Южноуральск ТЦ Южный;54.443298;61.281703
г. Новошахтинск, ул. Базарная 33;Новошахтинск Базарная;47.754;39.932899
г. Наро-Фоминск, ул. Ленина 8;Наро-Фоминск ТЦ Серпантин;55.383117;36.728088
г. Муром, ул. Советская 29;Муром Советская;55.577302;42.049599
г. Брянск, ул. Куйбышева 15а;Брянск ТЦ Консул;53.3071;34.307703
г.Геленджик, ул. Тельмана 135;Геленджик Тельмана;44.567803400809;38.090478777771
г. Ейск, ул. Западная 1/1;Ейск ТЦ Гелиос Холл;46.677603;38.289503
г. Екатеринбург, пр. Космонавтов 51;Екатеринбург Космонавтов;56.905475;60.613051
г. Сарапул, ул. Красноармейская 76а;Сарапул Красноармейская;56.473301;53.813101
г. Якутск, ул. Лермонтова 62/4;Якутск ТЦ Айсберг;62.036517715852;129.71818960463
г. Белгород, пр. Б. Хмельницкого 164;Белгород ТЦ Рио;50.642050013549;36.571903497234
г. Ижевск, ул. Удмуртская 304;Ижевск ТЦ Аврора Парк;56.860516;53.221551
г.Хабаровск, ул. Ким-Ю-Чена 44;Хабаровск ТЦ Магазины Радости;48.490298;135.082149
г.Ачинск, микрорайон 1, дом 41А, корпус 1;Ачинск ТЦ Лазурит;56.263377;90.492212
г. Санкт-Петербург, ул. Савушкина 141а;С-Петербург ТЦ Меркурий;59.990791;30.205807
г. Благовещенск, ул. Ленина 121;Благовещенск Ленина;50.257433;127.541142
г. Ярославль, Тутаевское шоссе 1;Ярославль ТЦ Рио;57.67056;39.838199
г. Киров, ул. Горького 5а;Киров ТЦ Джам Молл;58.59916;49.647667
г. Кузнецк, ул. Минская 27;Кузнецк ТЦ Лига;53.1082;46.567398
г. Москва, ш.Дмитровское 163а/1;Москва ТЦ Рио Дмитровка;55.909368;37.540362
г. Адлер, ул. Демократическая 42;Адлер ТЦ Демократический;43.423272;39.923285
г. Лиски, ул. Коммунистическая 21;Лиски Коммунистическая;50.9781;39.5077
г. Михайловск, ул. К. Маркса 79;Михайловск Карла Маркса;45.131516848385;42.027272030608
г. Чехов, ул. Московская, вл. 96;Чехов ТЦ Карнавал;55.153298;37.459702
г. Ржев, ул. Большая Спасская 8;Ржев Спасская;56.257298;34.327196
г. Дубна, пр. Боголюбова 24а;Дубна ТЦ Маяк;56.735224;37.155766
г. Находка, пр. Находкинский 5;Находка ТЦ Зебра;42.802099;132.874997
г. Горно-Алтайск, пр. Коммунистический 80;Горно-Алтайск Коммунистический;51.955067771957;85.933429637075
Иркутская обл., г. Братск, ж.р.Энергетик, ул. Наймушина 5;Братск Наймушина;56.309;101.752002
г. Чусовой, ул. Мира 17;Чусовой ТЦ Сатурн;58.269914576351;57.803998666808
г. Кемерово, пр. Шахтеров 54;Кемерово ТЦ Радуга;55.399597;86.117767
г. Саяногорск, Интернациональный мкр. 7 А;Саяногорск Интернациональный;53.089898;91.405197
г. Волгоград, бульвар им. Энгельса 25;Волгоград Героев Сталинграда;48.514702;44.543996
ул. Советская 84;Новотроицк ТЦ Ринг;51.19435274139107;58.295570728835735
г. Тольятти, ул. Революционная 52а;Тольятти ТЦ Русь на Волге;53.517737;49.271533
г. Минусинск, ул. Абаканская 50А;Минусинск ТЦ Енисей;53.694221;91.67144
г. Клин, ул. К. Маркса 2а;Клин ТЦ Атак;56.333095;36.712214
Республика Коми, Ухта г., ул. Строительная, 2а;Ухта ТЦ Ярмарка;63.56691834749756;53.706525058043994
Иркутская обл.,г. Тайшет, ул. Суворова 4/1;Тайшет Суворова;55.936956025808;98.017828371689
г. Волгодонск, ул. Морская 86,стр. 4;Волгодонск Морская;47.516599;42.157999
